Id,SalePrice
1461,151000.00
1462,187000.00
1463,190000.00
1464,192000.00
1465,167000.00
1466,171000.00
1467,178000.00
1468,149000.00
1469,183000.00
1470,143000.00
1471,195000.00
1472,134000.00
1473,136000.00
1474,167000.00
1475,102000.00
1476,276000.00
1477,230000.00
1478,262000.00
1479,244000.00
1480,430000.00
1481,289000.00
1482,184000.00
1483,163000.00
1484,150000.00
1485,134000.00
1486,177000.00
1487,297000.00
1488,239000.00
1489,171000.00
1490,204000.00
1491,182000.00
1492,126000.00
1493,184000.00
1494,269000.00
1495,276000.00
1496,208000.00
1497,180000.00
1498,143000.00
1499,137000.00
1500,151000.00
1501,216000.00
1502,125000.00
1503,237000.00
1504,216000.00
1505,215000.00
1506,234000.00
1507,277000.00
1508,223000.00
1509,164000.00
1510,178000.00
1511,169000.00
1512,214000.00
1513,164000.00
1514,196000.00
1515,240000.00
1516,179000.00
1517,163000.00
1518,202000.00
1519,243000.00
1520,150000.00
1521,158000.00
1522,204000.00
1523,131000.00
1524,122000.00
1525,125000.00
1526,122000.00
1527,127000.00
1528,146000.00
1529,154000.00
1530,213000.00
1531,195000.00
1532,98400.00
1533,163000.00
1534,123000.00
1535,168000.00
1536,137000.00
1537,131000.00
1538,157000.00
1539,196000.00
1540,168000.00
1541,166000.00
1542,172000.00
1543,197000.00
1544,94600.00
1545,114000.00
1546,138000.00
1547,153000.00
1548,151000.00
1549,144000.00
1550,170000.00
1551,139000.00
1552,203000.00
1553,137000.00
1554,117000.00
1555,198000.00
1556,112000.00
1557,142000.00
1558,98000.00
1559,140000.00
1560,182000.00
1561,193000.00
1562,115000.00
1563,123000.00
1564,193000.00
1565,157000.00
1566,230000.00
1567,103000.00
1568,246000.00
1569,166000.00
1570,118000.00
1571,124000.00
1572,163000.00
1573,214000.00
1574,165000.00
1575,213000.00
1576,259000.00
1577,170000.00
1578,149000.00
1579,147000.00
1580,180000.00
1581,131000.00
1582,126000.00
1583,305000.00
1584,229000.00
1585,135000.00
1586,48600.00
1587,94400.00
1588,166000.00
1589,130000.00
1590,135000.00
1591,91100.00
1592,147000.00
1593,115000.00
1594,158000.00
1595,137000.00
1596,234000.00
1597,235000.00
1598,156000.00
1599,158000.00
1600,162000.00
1601,68100.00
1602,141000.00
1603,107000.00
1604,231000.00
1605,223000.00
1606,183000.00
1607,256000.00
